frame,perception,decision,cover,squad,sim_step,serialisation,frame_ms
110,0.2933,0.4607,0.1375,0.0502,0.2680,0.1053,6.5383
111,0.3304,0.5666,0.1193,0.0340,0.2622,0.1101,7.0237
112,0.2836,0.5891,0.1485,0.0476,0.3108,0.1252,6.7167
113,0.3552,0.5361,0.1237,0.0494,0.2848,0.1169,7.3832
114,0.2701,0.5482,0.1290,0.0421,0.3009,0.1086,6.5155
115,0.3239,0.4606,0.1337,0.0384,0.2507,0.0917,6.3786
116,0.3386,0.6073,0.1128,0.0541,0.3464,0.1001,6.8692
117,0.3558,0.6241,0.0969,0.0687,0.3728,0.0702,6.7767
118,0.3188,0.6869,0.1320,0.0480,0.2357,0.1015,7.0330
119,0.2510,0.5076,0.1196,0.0355,0.2691,0.0935,6.6113
120,0.2684,0.5206,0.1129,0.0496,0.2521,0.1002,6.7289
121,0.3533,0.7534,0.1059,0.0469,0.1757,0.1285,6.5463
122,0.2985,0.6470,0.0955,0.0535,0.2789,0.0726,6.7337
123,0.3538,0.4319,0.1345,0.0516,0.2999,0.1066,6.9695
124,0.2899,0.6786,0.1126,0.0555,0.2458,0.0984,7.2001
125,0.3201,0.5858,0.0994,0.0441,0.2881,0.1141,6.7793
126,0.3236,0.5962,0.1443,0.0471,0.2569,0.1133,6.7005
127,0.2875,0.5482,0.1154,0.0547,0.2949,0.0819,6.7103
128,0.3081,0.5100,0.1339,0.0479,0.2659,0.1119,6.9739
129,0.2690,0.6394,0.1042,0.0674,0.2593,0.1179,6.4630
130,0.3365,0.7997,0.0743,0.0467,0.3010,0.0986,6.6563
131,0.3968,0.6072,0.0904,0.0564,0.2077,0.1173,6.5024
132,0.3065,0.7135,0.1221,0.0396,0.2088,0.1177,6.9303
133,0.2633,0.6774,0.1289,0.0549,0.1851,0.0955,6.8752
134,0.3330,0.6793,0.0758,0.0513,0.3007,0.1383,6.4922
135,0.2852,0.6032,0.1359,0.0467,0.3282,0.0882,6.7675
136,0.2763,0.6142,0.1076,0.0380,0.3259,0.1046,6.4990
137,0.3090,0.6891,0.1024,0.0492,0.3026,0.1079,6.6597
138,0.2052,0.7119,0.1259,0.0501,0.2683,0.1040,6.5376
139,0.2539,0.5334,0.1093,0.0454,0.2313,0.1095,6.0899
140,0.3297,0.5087,0.1263,0.0603,0.2885,0.0890,6.6171
141,0.3067,0.4440,0.1091,0.0512,0.2603,0.1012,6.6926
142,0.3345,0.6815,0.1306,0.0478,0.2792,0.0959,6.6756
143,0.2919,0.4448,0.1140,0.0498,0.2391,0.0996,6.5939
144,0.2926,0.7869,0.0731,0.0485,0.2033,0.1147,7.5153
145,0.1874,0.6115,0.1293,0.0477,0.3032,0.0664,6.8011
146,0.3167,0.6021,0.1094,0.0548,0.2596,0.1033,6.4929
147,0.1989,0.5972,0.1236,0.0557,0.2432,0.0995,6.7032
148,0.3065,0.7118,0.1558,0.0432,0.1993,0.1128,7.1884
149,0.3415,0.6733,0.1089,0.0446,0.3173,0.0863,6.2279
150,0.2551,0.8243,0.1546,0.0449,0.2494,0.1035,6.6069
151,0.3590,0.5930,0.1004,0.0598,0.2555,0.1033,6.6672
152,0.2859,0.6292,0.1075,0.0362,0.1873,0.0810,6.2995
153,0.2990,0.6050,0.1300,0.0509,0.2467,0.0894,5.9853
154,0.2924,0.6436,0.1295,0.0491,0.2727,0.1140,6.7060
155,0.3332,0.6524,0.1238,0.0598,0.2559,0.0946,6.4774
156,0.2641,0.7400,0.1517,0.0502,0.3039,0.1176,7.0697
157,0.3542,0.4863,0.1085,0.0534,0.3403,0.1016,6.3868
158,0.2840,0.5405,0.1046,0.0613,0.2537,0.1003,7.1932
159,0.3533,0.6303,0.1090,0.0531,0.3481,0.1093,7.1815
160,0.3044,0.6465,0.1164,0.0532,0.3346,0.0785,6.7149
161,0.3108,0.5486,0.1145,0.0559,0.3641,0.1094,6.8011
162,0.2302,0.7735,0.1214,0.0497,0.2330,0.0991,6.3781
163,0.3032,0.6420,0.1206,0.0521,0.2442,0.1214,6.4875
164,0.2182,0.5831,0.1063,0.0424,0.2651,0.1044,6.1649
165,0.2938,0.7284,0.1323,0.0489,0.2854,0.0982,6.7726
166,0.3330,0.5917,0.0767,0.0498,0.2426,0.1098,6.4205
167,0.3067,0.7960,0.1012,0.0416,0.2207,0.0641,6.1666
168,0.3164,0.5426,0.0864,0.0389,0.3059,0.0884,6.4685
169,0.3149,0.7221,0.1549,0.0577,0.2860,0.1028,7.3791
170,0.3643,0.5721,0.1282,0.0522,0.2822,0.0925,6.2935
171,0.2760,0.4610,0.1420,0.0540,0.2293,0.1209,6.7509
172,0.2141,0.7657,0.1346,0.0655,0.2283,0.1080,6.8431
173,0.3091,0.6154,0.1390,0.0388,0.2278,0.0791,6.4419
174,0.2728,0.6331,0.1248,0.0502,0.2516,0.0934,6.9115
175,0.3344,0.6091,0.1142,0.0616,0.2550,0.1097,7.0301
176,0.2881,0.6743,0.0999,0.0576,0.2884,0.0762,6.8853
177,0.2598,0.7154,0.1078,0.0488,0.2919,0.0950,6.7965
178,0.2751,0.6605,0.1201,0.0516,0.1644,0.1174,6.5986
179,0.2198,0.6086,0.1284,0.0580,0.2345,0.1232,6.5247
180,0.4078,0.5868,0.1322,0.0473,0.2331,0.1164,6.9956
181,0.3692,0.6771,0.1097,0.0375,0.2527,0.0899,6.4916
182,0.3262,0.6295,0.1151,0.0513,0.2739,0.1032,6.9248
183,0.3432,0.5383,0.0929,0.0607,0.2848,0.1166,6.1435
184,0.2852,0.6024,0.0941,0.0461,0.3104,0.1162,7.1326
185,0.2611,0.4739,0.1294,0.0571,0.2881,0.0805,6.7247
186,0.3357,0.6498,0.1112,0.0523,0.3132,0.0916,6.2007
187,0.3148,0.6433,0.1202,0.0567,0.2554,0.0988,6.5975
188,0.3257,0.7436,0.1155,0.0654,0.3442,0.1119,7.0824
189,0.3797,0.5838,0.1180,0.0420,0.2999,0.1202,6.9032
190,0.3190,0.5819,0.1231,0.0393,0.3241,0.0939,6.3499
191,0.2662,0.5258,0.1354,0.0579,0.2230,0.1139,6.7886
192,0.2739,0.4662,0.1066,0.0452,0.2944,0.0946,5.8725
193,0.3105,0.4619,0.1363,0.0409,0.2509,0.0872,6.3250
194,0.3584,0.6767,0.1308,0.0524,0.2150,0.0922,6.5600
195,0.2560,0.6458,0.1067,0.0447,0.2361,0.0691,6.7370
196,0.3599,0.6157,0.1024,0.0297,0.2873,0.1182,6.8024
197,0.3417,0.7330,0.1403,0.0467,0.3242,0.1116,6.4365
198,0.2818,0.4719,0.1180,0.0543,0.2351,0.0692,6.8198
199,0.3170,0.7324,0.0962,0.0580,0.3671,0.1301,6.8377
200,0.3121,0.5861,0.1380,0.0578,0.2837,0.0796,6.8796
201,0.2789,0.6566,0.1247,0.0622,0.3278,0.0932,6.8481
202,0.3794,0.5516,0.1278,0.0589,0.3328,0.1078,6.3623
203,0.2433,0.6223,0.1270,0.0691,0.2438,0.1171,6.8536
204,0.2248,0.5264,0.1230,0.0463,0.2735,0.1071,6.2582
205,0.3210,0.5427,0.1102,0.0540,0.2559,0.1043,7.0680
206,0.3012,0.5869,0.1332,0.0473,0.3255,0.0808,6.8604
207,0.2770,0.5281,0.1519,0.0436,0.3538,0.1099,7.1001
208,0.2560,0.7079,0.1462,0.0491,0.2746,0.1368,6.8240
209,0.2810,0.5433,0.1280,0.0525,0.2875,0.1258,6.5197
210,0.3213,0.7313,0.1019,0.0578,0.3569,0.0797,6.5197
211,0.2533,0.4338,0.1281,0.0361,0.3010,0.1218,5.9895
212,0.2858,0.4274,0.1340,0.0445,0.2688,0.1008,6.6248
213,0.2844,0.6014,0.1102,0.0509,0.2308,0.1010,5.9988
214,0.2779,0.7724,0.1214,0.0406,0.2908,0.0854,6.2931
215,0.2669,0.6663,0.1269,0.0493,0.2411,0.0838,7.0392
216,0.3110,0.5143,0.0820,0.0397,0.3840,0.0828,6.5908
217,0.3095,0.5858,0.1150,0.0397,0.2359,0.1253,6.3842
218,0.3380,0.4476,0.1151,0.0520,0.3235,0.0832,6.7379
219,0.3174,0.5336,0.1286,0.0433,0.2466,0.0997,5.7549
220,0.2951,0.5100,0.0937,0.0468,0.3120,0.0939,6.9313
221,0.2478,0.4819,0.1479,0.0530,0.3197,0.0876,6.7792
222,0.3117,0.6584,0.1205,0.0590,0.2527,0.0855,6.2446
223,0.3522,0.5335,0.1012,0.0430,0.2613,0.0809,6.4851
224,0.2718,0.5504,0.1027,0.0503,0.2606,0.1017,6.6123
225,0.3153,0.4030,0.1104,0.0440,0.3125,0.0763,6.2472
226,0.2868,0.5697,0.1378,0.0467,0.3205,0.0780,6.0959
227,0.3549,0.6392,0.1288,0.0509,0.3003,0.0818,7.0404
228,0.2761,0.6887,0.1216,0.0352,0.2259,0.1169,6.6234
229,0.2822,0.6218,0.1123,0.0459,0.2843,0.1022,7.1038
230,0.3021,0.7692,0.1524,0.0629,0.3246,0.1020,6.9543
231,0.2936,0.5342,0.1188,0.0452,0.3489,0.1080,6.5147
232,0.2138,0.5952,0.1125,0.0419,0.2323,0.0662,6.6326
233,0.2970,0.8323,0.1194,0.0489,0.3407,0.1020,6.9905
234,0.2833,0.5455,0.1470,0.0575,0.3521,0.0948,6.6892
235,0.2604,0.6870,0.0949,0.0542,0.3260,0.1212,6.4618
236,0.3490,0.5358,0.1064,0.0401,0.3285,0.1247,6.5062
237,0.2658,0.5695,0.1651,0.0575,0.2572,0.0731,6.3865
238,0.3534,0.7681,0.1152,0.0448,0.2586,0.0717,7.0843
239,0.2511,0.6957,0.0893,0.0405,0.2921,0.0885,6.8916
240,0.3004,0.4943,0.1312,0.0563,0.1997,0.1274,6.6583
241,0.3342,0.4326,0.1070,0.0474,0.3252,0.0781,6.2594
242,0.2087,0.5783,0.1262,0.0374,0.2552,0.1077,6.9890
243,0.3299,0.5727,0.0988,0.0430,0.2521,0.1022,6.5837
244,0.3750,0.6258,0.1007,0.0616,0.3199,0.1015,6.5682
245,0.2158,0.5080,0.1364,0.0440,0.2246,0.1029,6.5049
246,0.3273,0.6590,0.1454,0.0437,0.3211,0.0852,6.9898
247,0.3081,0.6219,0.1374,0.0499,0.3267,0.1131,6.7977
248,0.2745,0.5322,0.1105,0.0485,0.2790,0.1447,6.7809
249,0.3346,0.5225,0.1072,0.0476,0.2881,0.0845,7.0681
250,0.2747,0.6970,0.0780,0.0499,0.2917,0.1029,6.8747
251,0.3126,0.6146,0.0859,0.0446,0.1816,0.1094,6.6411
252,0.2912,0.5261,0.1095,0.0638,0.3527,0.0991,7.0289
253,0.2285,0.4258,0.1113,0.0434,0.2565,0.1028,7.2759
254,0.2703,0.6045,0.1250,0.0497,0.3191,0.1266,6.3221
255,0.3073,0.5762,0.1264,0.0385,0.2062,0.0653,6.6774
256,0.3086,0.6066,0.0774,0.0472,0.2483,0.0788,6.2923
257,0.3314,0.6490,0.1196,0.0539,0.2547,0.1011,6.7216
258,0.3249,0.5937,0.1174,0.0490,0.2529,0.1335,6.8257
259,0.3193,0.8062,0.1453,0.0383,0.3092,0.1126,7.4964
260,0.3592,0.6694,0.0988,0.0435,0.2913,0.1076,6.4633
261,0.2827,0.5640,0.1211,0.0525,0.2680,0.0814,6.9425
262,0.3718,0.5905,0.1384,0.0533,0.3077,0.1072,6.5400
263,0.3258,0.6910,0.1039,0.0647,0.3678,0.1273,7.4773
264,0.3334,0.5696,0.1092,0.0439,0.2849,0.0995,6.8415
265,0.2091,0.8081,0.1610,0.0498,0.3084,0.1071,6.9255
266,0.2906,0.5889,0.1052,0.0513,0.2790,0.1048,6.3633
267,0.3018,0.6043,0.1309,0.0420,0.2976,0.1147,6.8705
268,0.2834,0.5558,0.1157,0.0555,0.3452,0.0976,6.4604
269,0.3169,0.6184,0.1037,0.0445,0.2757,0.1101,6.3113
270,0.2542,0.6449,0.0980,0.0508,0.2948,0.0983,6.3356
271,0.2973,0.5701,0.1260,0.0437,0.3258,0.0749,6.5850
272,0.3003,0.6865,0.1090,0.0541,0.2562,0.1111,7.2385
273,0.2820,0.6399,0.1033,0.0573,0.3309,0.1005,6.3734
274,0.3181,0.7034,0.1396,0.0561,0.2031,0.0898,7.1367
275,0.2448,0.7018,0.1539,0.0557,0.3270,0.0950,6.4107
276,0.2954,0.5821,0.1191,0.0552,0.2739,0.1029,6.7559
277,0.2998,0.7659,0.1280,0.0506,0.2713,0.0906,7.2094
278,0.3068,0.5029,0.1099,0.0490,0.2613,0.1163,6.1976
279,0.3221,0.6129,0.0988,0.0504,0.2760,0.1075,6.5327
280,0.3136,0.4501,0.1005,0.0559,0.3237,0.0998,6.3640
281,0.3487,0.4117,0.1056,0.0550,0.3074,0.0845,5.9468
282,0.3653,0.6138,0.1039,0.0504,0.3179,0.0611,7.0455
283,0.3333,0.4127,0.1339,0.0366,0.3279,0.1060,7.2261
284,0.2725,0.6004,0.1389,0.0452,0.2504,0.0944,6.5799
285,0.2513,0.6436,0.1298,0.0505,0.3514,0.0951,7.1137
286,0.2754,0.6680,0.0852,0.0515,0.2726,0.0926,6.4621
287,0.2844,0.5352,0.0805,0.0455,0.2569,0.0921,6.1774
288,0.2939,0.6706,0.1155,0.0463,0.3370,0.1147,7.0545
289,0.3520,0.5706,0.1177,0.0584,0.2567,0.0982,6.7669
290,0.3168,0.5751,0.1377,0.0487,0.3105,0.1161,6.9026
291,0.3330,0.4956,0.0964,0.0454,0.3000,0.1225,6.2261
292,0.3138,0.5231,0.1068,0.0479,0.3091,0.1032,6.9578
293,0.2556,0.6800,0.1367,0.0505,0.3000,0.0916,6.3876
294,0.2818,0.5422,0.1720,0.0464,0.3493,0.1030,6.7883
295,0.3335,0.5299,0.1365,0.0528,0.2163,0.1090,6.7438
296,0.3204,0.7426,0.1125,0.0538,0.3114,0.0865,7.1873
297,0.2347,0.4830,0.1294,0.0418,0.2751,0.0753,6.4601
298,0.2490,0.6308,0.0924,0.0534,0.2688,0.1010,6.5751
299,0.3059,0.4811,0.0738,0.0503,0.2407,0.0932,6.5729
300,0.2107,0.5313,0.1090,0.0421,0.2937,0.0979,6.2385
301,0.2557,0.6727,0.1081,0.0544,0.2989,0.0716,6.3363
302,0.3001,0.6308,0.1340,0.0560,0.3234,0.0944,6.6757
303,0.3349,0.5617,0.1390,0.0381,0.3074,0.0974,6.0885
304,0.3441,0.6280,0.1204,0.0419,0.2605,0.1227,6.4693
305,0.1438,0.5229,0.0984,0.0490,0.2635,0.0863,6.1114
306,0.3472,0.4702,0.1552,0.0459,0.2341,0.1118,6.7336
307,0.2531,0.6674,0.0869,0.0431,0.3273,0.0962,6.2833
308,0.3231,0.6825,0.1196,0.0364,0.2655,0.1063,6.9640
309,0.3834,0.5773,0.1113,0.0497,0.3307,0.0859,7.1298
310,0.1763,0.6718,0.1078,0.0534,0.3089,0.0823,6.5746
311,0.3108,0.6529,0.1033,0.0426,0.1992,0.1381,6.5891
312,0.2900,0.4655,0.1367,0.0460,0.3403,0.1128,6.5976
313,0.3327,0.4999,0.1141,0.0457,0.2267,0.1003,6.4759
314,0.3646,0.2983,0.1079,0.0431,0.2605,0.1063,6.5018
315,0.3013,0.5573,0.1289,0.0527,0.2026,0.0961,6.1265
316,0.2468,0.6132,0.1211,0.0509,0.2432,0.0970,6.2984
317,0.3172,0.6620,0.1516,0.0595,0.2462,0.0931,6.4480
318,0.3138,0.7782,0.1328,0.0335,0.2272,0.0806,6.9206
319,0.3001,0.6270,0.1521,0.0438,0.2444,0.1295,6.7995
320,0.2649,0.4174,0.0926,0.0317,0.2829,0.1007,6.6880
321,0.2937,0.5376,0.1067,0.0643,0.2058,0.1026,6.5184
322,0.3278,0.5636,0.1290,0.0561,0.2738,0.0931,6.5875
323,0.2566,0.5813,0.1146,0.0516,0.3361,0.1196,6.5262
324,0.3271,0.6265,0.1337,0.0502,0.2912,0.0930,6.4863
325,0.3392,0.7169,0.1319,0.0533,0.2912,0.0932,6.2908
326,0.3299,0.6179,0.1100,0.0428,0.3337,0.0729,7.2357
327,0.3288,0.8134,0.1071,0.0498,0.2587,0.1023,6.7971
328,0.2663,0.6967,0.1059,0.0462,0.3033,0.0919,6.5800
329,0.3160,0.5669,0.0976,0.0492,0.2708,0.1256,6.2969
330,0.3436,0.5293,0.1136,0.0475,0.2914,0.1130,7.1633
331,0.2714,0.7197,0.1379,0.0561,0.2481,0.1135,6.7145
332,0.3159,0.5758,0.1320,0.0584,0.3275,0.0969,7.0050
333,0.3653,0.5158,0.1465,0.0400,0.3028,0.1089,7.1242
334,0.3125,0.5567,0.1057,0.0406,0.3122,0.0964,6.4089
335,0.3239,0.5312,0.1121,0.0466,0.3495,0.1219,6.6378
336,0.2293,0.6249,0.1213,0.0526,0.3038,0.0952,6.9046
337,0.3377,0.6190,0.1127,0.0464,0.3091,0.0835,6.6604
338,0.2663,0.4746,0.1309,0.0498,0.2815,0.1131,6.0679
339,0.2970,0.6260,0.1350,0.0419,0.3101,0.1033,7.1199
340,0.3512,0.6495,0.1587,0.0500,0.2622,0.0949,6.4843
341,0.2987,0.4309,0.1185,0.0532,0.3216,0.0948,6.9344
342,0.2707,0.5879,0.0862,0.0443,0.2468,0.1219,6.7131
343,0.2515,0.6469,0.1285,0.0483,0.2809,0.0955,6.4927
344,0.2221,0.5920,0.1426,0.0605,0.2686,0.0891,6.5129
345,0.3394,0.6309,0.1097,0.0527,0.2715,0.1075,6.5924
346,0.2354,0.6051,0.1334,0.0419,0.2756,0.1128,6.4947
347,0.2714,0.7781,0.1346,0.0575,0.2413,0.1239,6.3227
348,0.2773,0.6648,0.1433,0.0432,0.2529,0.1029,6.1214
349,0.3280,0.6490,0.1122,0.0539,0.3117,0.1045,6.9115
350,0.3662,0.5583,0.1228,0.0462,0.3222,0.0941,6.8477
351,0.3060,0.6058,0.1500,0.0494,0.3377,0.1120,7.1442
352,0.2928,0.6808,0.1332,0.0455,0.2909,0.0981,6.7311
353,0.3566,0.5373,0.0907,0.0374,0.2616,0.0907,6.5785
354,0.3246,0.7530,0.1254,0.0534,0.2502,0.1084,7.2082
355,0.3582,0.4304,0.1355,0.0615,0.3135,0.0784,6.4885
356,0.3255,0.6360,0.1059,0.0436,0.3191,0.0807,7.1252
357,0.3009,0.6261,0.0969,0.0457,0.3079,0.0788,7.2541
358,0.2392,0.4942,0.1207,0.0535,0.3096,0.0946,6.4520
359,0.2898,0.5502,0.0754,0.0569,0.2901,0.1023,6.3835
360,0.3109,0.5989,0.1187,0.0580,0.2105,0.1036,6.2931
361,0.2863,0.7296,0.1013,0.0493,0.2561,0.1137,6.4540
362,0.2273,0.6444,0.1139,0.0477,0.3236,0.0872,6.5365
363,0.3064,0.6357,0.1111,0.0575,0.3704,0.0941,7.3138
364,0.2088,0.7216,0.1141,0.0510,0.2663,0.0908,6.2845
365,0.2829,0.7120,0.1397,0.0475,0.2587,0.0899,6.3852
366,0.3779,0.6573,0.1220,0.0465,0.2388,0.1190,6.9865
367,0.2588,0.6855,0.1009,0.0546,0.2413,0.0940,6.7777
368,0.3187,0.6874,0.1055,0.0614,0.3342,0.0999,6.9410
369,0.2664,0.5868,0.0972,0.0506,0.2880,0.1193,6.8814
370,0.3352,0.5687,0.1161,0.0475,0.2890,0.0722,6.8508
371,0.2323,0.5555,0.1204,0.0463,0.3471,0.0986,7.0528
372,0.3507,0.5571,0.1269,0.0593,0.2666,0.1013,6.5012
373,0.3025,0.5694,0.1214,0.0572,0.3362,0.1019,6.7468
374,0.3370,0.5749,0.1017,0.0580,0.2423,0.1134,6.3495
375,0.3791,0.5098,0.1347,0.0608,0.2413,0.1214,6.4099
376,0.2238,0.6624,0.1321,0.0485,0.1782,0.0992,6.4561
